bit_size,algorithm,k,sample,multiplications,squarings,total_ops
8,naive,,0,128,0,128
8,binary_lr,,0,1,8,9
8,binary_rl,,0,1,7,8
8,kary,2,0,5,6,11
8,sliding,2,0,1,8,9
8,kary,4,0,15,4,19
8,sliding,4,0,7,8,15
8,kary,6,0,63,6,69
8,sliding,6,0,31,8,39
8,kary,8,0,254,0,254
8,sliding,8,0,127,8,135
8,naive,,1,165,0,165
8,binary_lr,,1,4,8,12
8,binary_rl,,1,4,7,11
8,kary,2,1,5,6,11
8,sliding,2,1,4,8,12
8,kary,4,1,15,4,19
8,sliding,4,1,8,6,14
8,kary,6,1,63,6,69
8,sliding,6,1,32,3,35
8,kary,8,1,254,0,254
8,sliding,8,1,127,1,128
8,naive,,2,226,0,226
8,binary_lr,,2,4,8,12
8,binary_rl,,2,4,7,11
8,kary,2,2,5,6,11
8,sliding,2,2,3,7,10
8,kary,4,2,15,4,19
8,sliding,4,2,8,6,14
8,kary,6,2,63,6,69
8,sliding,6,2,32,6,38
8,kary,8,2,254,0,254
8,sliding,8,2,127,2,129
8,naive,,3,159,0,159
8,binary_lr,,3,6,8,14
8,binary_rl,,3,6,7,13
8,kary,2,3,5,6,11
8,sliding,2,3,4,8,12
8,kary,4,3,15,4,19
8,sliding,4,3,8,5,13
8,kary,6,3,63,6,69
8,sliding,6,3,32,3,35
8,kary,8,3,254,0,254
8,sliding,8,3,127,1,128
8,naive,,4,200,0,200
8,binary_lr,,4,3,8,11
8,binary_rl,,4,3,7,10
8,kary,2,4,5,6,11
8,sliding,2,4,2,7,9
8,kary,4,4,15,4,19
8,sliding,4,4,8,7,15
8,kary,6,4,63,6,69
8,sliding,6,4,31,4,35
8,kary,8,4,254,0,254
8,sliding,8,4,127,4,131
8,naive,,5,215,0,215
8,binary_lr,,5,6,8,14
8,binary_rl,,5,6,7,13
8,kary,2,5,5,6,11
8,sliding,2,5,4,7,11
8,kary,4,5,15,4,19
8,sliding,4,5,8,5,13
8,kary,6,5,63,6,69
8,sliding,6,5,32,3,35
8,kary,8,5,254,0,254
8,sliding,8,5,127,1,128
8,naive,,6,192,0,192
8,binary_lr,,6,2,8,10
8,binary_rl,,6,2,7,9
8,kary,2,6,5,6,11
8,sliding,2,6,1,7,8
8,kary,4,6,15,4,19
8,sliding,4,6,7,7,14
8,kary,6,6,63,6,69
8,sliding,6,6,31,7,38
8,kary,8,6,254,0,254
8,sliding,8,6,127,7,134
8,naive,,7,240,0,240
8,binary_lr,,7,4,8,12
8,binary_rl,,7,4,7,11
8,kary,2,7,5,6,11
8,sliding,2,7,2,7,9
8,kary,4,7,15,4,19
8,sliding,4,7,7,5,12
8,kary,6,7,63,6,69
8,sliding,6,7,31,5,36
8,kary,8,7,254,0,254
8,sliding,8,7,127,5,132
8,naive,,8,157,0,157
8,binary_lr,,8,5,8,13
8,binary_rl,,8,5,7,12
8,kary,2,8,5,6,11
8,sliding,2,8,4,8,12
8,kary,4,8,15,4,19
8,sliding,4,8,8,5,13
8,kary,6,8,63,6,69
8,sliding,6,8,32,3,35
8,kary,8,8,254,0,254
8,sliding,8,8,127,1,128
8,naive,,9,201,0,201
8,binary_lr,,9,4,8,12
8,binary_rl,,9,4,7,11
8,kary,2,9,5,6,11
8,sliding,2,9,3,7,10
8,kary,4,9,15,4,19
8,sliding,4,9,8,7,15
8,kary,6,9,63,6,69
8,sliding,6,9,32,4,36
8,kary,8,9,254,0,254
8,sliding,8,9,127,1,128
8,naive,,10,243,0,243
8,binary_lr,,10,6,8,14
8,binary_rl,,10,6,7,13
8,kary,2,10,5,6,11
8,sliding,2,10,3,7,10
8,kary,4,10,15,4,19
8,sliding,4,10,8,5,13
8,kary,6,10,63,6,69
8,sliding,6,10,32,5,37
8,kary,8,10,254,0,254
8,sliding,8,10,127,1,128
8,naive,,11,173,0,173
8,binary_lr,,11,5,8,13
8,binary_rl,,11,5,7,12
8,kary,2,11,5,6,11
8,sliding,2,11,4,8,12
8,kary,4,11,15,4,19
8,sliding,4,11,8,6,14
8,kary,6,11,63,6,69
8,sliding,6,11,32,3,35
8,kary,8,11,254,0,254
8,sliding,8,11,127,1,128
8,naive,,12,229,0,229
8,binary_lr,,12,5,8,13
8,binary_rl,,12,5,7,12
8,kary,2,12,5,6,11
8,sliding,2,12,4,7,11
8,kary,4,12,15,4,19
8,sliding,4,12,8,6,14
8,kary,6,12,63,6,69
8,sliding,6,12,32,3,35
8,kary,8,12,254,0,254
8,sliding,8,12,127,1,128
8,naive,,13,250,0,250
8,binary_lr,,13,6,8,14
8,binary_rl,,13,6,7,13
8,kary,2,13,5,6,11
8,sliding,2,13,4,7,11
8,kary,4,13,15,4,19
8,sliding,4,13,8,5,13
8,kary,6,13,63,6,69
8,sliding,6,13,32,4,36
8,kary,8,13,254,0,254
8,sliding,8,13,127,2,129
8,naive,,14,219,0,219
8,binary_lr,,14,6,8,14
8,binary_rl,,14,6,7,13
8,kary,2,14,5,6,11
8,sliding,2,14,3,7,10
8,kary,4,14,15,4,19
8,sliding,4,14,8,5,13
8,kary,6,14,63,6,69
8,sliding,6,14,32,4,36
8,kary,8,14,254,0,254
8,sliding,8,14,127,1,128
8,naive,,15,255,0,255
8,binary_lr,,15,8,8,16
8,binary_rl,,15,8,7,15
8,kary,2,15,5,6,11
8,sliding,2,15,4,7,11
8,kary,4,15,15,4,19
8,sliding,4,15,8,5,13
8,kary,6,15,63,6,69
8,sliding,6,15,32,3,35
8,kary,8,15,254,0,254
8,sliding,8,15,127,1,128
8,naive,,16,163,0,163
8,binary_lr,,16,4,8,12
8,binary_rl,,16,4,7,11
8,kary,2,16,5,6,11
8,sliding,2,16,3,8,11
8,kary,4,16,15,4,19
8,sliding,4,16,8,6,14
8,kary,6,16,63,6,69
8,sliding,6,16,32,6,38
8,kary,8,16,254,0,254
8,sliding,8,16,127,1,128
8,naive,,17,150,0,150
8,binary_lr,,17,4,8,12
8,binary_rl,,17,4,7,11
8,kary,2,17,5,6,11
8,sliding,2,17,3,8,11
8,kary,4,17,15,4,19
8,sliding,4,17,8,5,13
8,kary,6,17,63,6,69
8,sliding,6,17,32,3,35
8,kary,8,17,254,0,254
8,sliding,8,17,127,2,129
8,naive,,18,202,0,202
8,binary_lr,,18,4,8,12
8,binary_rl,,18,4,7,11
8,kary,2,18,5,6,11
8,sliding,2,18,3,7,10
8,kary,4,18,15,4,19
8,sliding,4,18,8,7,15
8,kary,6,18,63,6,69
8,sliding,6,18,32,4,36
8,kary,8,18,254,0,254
8,sliding,8,18,127,2,129
8,naive,,19,164,0,164
8,binary_lr,,19,3,8,11
8,binary_rl,,19,3,7,10
8,kary,2,19,5,6,11
8,sliding,2,19,3,8,11
8,kary,4,19,15,4,19
8,sliding,4,19,8,6,14
8,kary,6,19,63,6,69
8,sliding,6,19,31,3,34
8,kary,8,19,254,0,254
8,sliding,8,19,127,3,130
16,naive,,0,46135,0,46135
16,binary_lr,,0,9,16,25
16,binary_rl,,0,9,15,24
16,kary,2,0,9,14,23
16,sliding,2,0,6,16,22
16,kary,4,0,17,12,29
16,sliding,4,0,10,13,23
16,kary,6,0,64,12,76
16,sliding,6,0,32,11,43
16,kary,8,0,255,8,263
16,sliding,8,0,128,11,139
16,naive,,1,53018,0,53018
16,binary_lr,,1,9,16,25
16,binary_rl,,1,9,15,24
16,kary,2,1,9,14,23
16,sliding,2,1,5,15,20
16,kary,4,1,17,12,29
16,sliding,4,1,9,15,24
16,kary,6,1,64,12,76
16,sliding,6,1,33,11,44
16,kary,8,1,255,8,263
16,sliding,8,1,128,9,137
16,naive,,2,56593,0,56593
16,binary_lr,,2,8,16,24
16,binary_rl,,2,8,15,23
16,kary,2,2,9,14,23
16,sliding,2,2,6,15,21
16,kary,4,2,17,12,29
16,sliding,4,2,10,13,23
16,kary,6,2,64,12,76
16,sliding,6,2,33,11,44
16,kary,8,2,255,8,263
16,sliding,8,2,128,9,137
16,naive,,3,38711,0,38711
16,binary_lr,,3,10,16,26
16,binary_rl,,3,10,15,25
16,kary,2,3,9,14,23
16,sliding,2,3,7,16,23
16,kary,4,3,17,12,29
16,sliding,4,3,10,13,23
16,kary,6,3,64,12,76
16,sliding,6,3,33,11,44
16,kary,8,3,255,8,263
16,sliding,8,3,128,9,137
16,naive,,4,38385,0,38385
16,binary_lr,,4,9,16,25
16,binary_rl,,4,9,15,24
16,kary,2,4,9,14,23
16,sliding,2,4,7,16,23
16,kary,4,4,17,12,29
16,sliding,4,4,10,13,23
16,kary,6,4,64,12,76
16,sliding,6,4,33,11,44
16,kary,8,4,255,8,263
16,sliding,8,4,128,9,137
16,naive,,5,56834,0,56834
16,binary_lr,,5,7,16,23
16,binary_rl,,5,7,15,22
16,kary,2,5,9,14,23
16,sliding,2,5,4,15,19
16,kary,4,5,17,12,29
16,sliding,4,5,9,13,22
16,kary,6,5,64,12,76
16,sliding,6,5,33,11,44
16,kary,8,5,255,8,263
16,sliding,8,5,128,10,138
16,naive,,6,33184,0,33184
16,binary_lr,,6,4,16,20
16,binary_rl,,6,4,15,19
16,kary,2,6,9,14,23
16,sliding,2,6,3,16,19
16,kary,4,6,17,12,29
16,sliding,4,6,8,16,24
16,kary,6,6,64,12,76
16,sliding,6,6,32,16,48
16,kary,8,6,255,8,263
16,sliding,8,6,128,9,137
16,naive,,7,56803,0,56803
16,binary_lr,,7,11,16,27
16,binary_rl,,7,11,15,26
16,kary,2,7,9,14,23
16,sliding,2,7,6,15,21
16,kary,4,7,17,12,29
16,sliding,4,7,10,13,23
16,kary,6,7,64,12,76
16,sliding,6,7,33,11,44
16,kary,8,7,255,8,263
16,sliding,8,7,128,9,137
16,naive,,8,58861,0,58861
16,binary_lr,,8,11,16,27
16,binary_rl,,8,11,15,26
16,kary,2,8,9,14,23
16,sliding,2,8,7,15,22
16,kary,4,8,17,12,29
16,sliding,4,8,10,14,24
16,kary,6,8,64,12,76
